"x","evacuation time"
"0","1.164195652173913"
"1","6.255716417910448"
"2","9.696966666666667"
"3","8.378095238095238"
"4","14.725347368421058"
"5","10.665602150537635"
"6","10.304007751937984"
"7","16.067348484848484"
"8","16.08157575757576"
"9","14.266915966386554"
"10","12.119456521739137"
"11","19.508373239436608"
"12","17.30045454545454"
"13","21.34165030674844"
"14","16.748245033112585"
"15","19.730282894736856"
"16","20.752378378378385"
"17","23.26957931034482"
"18","21.816757575757556"
"19","24.666225806451614"
"20","27.059439189189188"
"21","27.065696774193537"
"22","30.031725000000012"
"23","27.343736111111102"
"24","28.442709219858145"
"25","31.918207142857142"
"26","32.61576595744682"
"27","29.924717948717962"
"28","33.76564743589743"
"29","31.348977099236652"
"30","29.75560483870968"
"31","31.125379310344826"
"32","31.620670000000004"
"33","34.97717518248175"
"34","21.78012612612613"
"35","26.603743362831857"
"36","24.21225833333334"
"37","24.42826168224299"
"38","23.17401030927836"
"39","19.817520000000005"
"40","24.11385483870968"
"41","21.783152777777776"
"42","24.0517323943662"
"43","26.40825714285714"
"44","20.56256338028169"
"45","17.701671875"
"46","14.474783783783783"
"47","24.428890909090907"
"48","20.891816901408454"
"49","18.1196338028169"
"50","20.178046875"
"51","18.51874285714286"
"52","15.712459016393444"
"53","21.7557"
"54","27.12031147540984"
"55","26.340492063492068"
"56","28.38525757575758"
"57","21.51983636363636"
"58","23.293980392156865"
"59","26.272732142857144"
"60","28.99471428571429"
"61","23.85966129032258"
"62","18.132310810810814"
"63","23.605566666666668"
"64","22.112672131147534"
"65","18.79358490566038"
"66","31.119290909090903"
"67","27.325367647058822"
"68","25.463111111111115"
"69","26.361387755102044"
"70","28.245250000000006"
"71","34.24722950819674"
"72","28.30858823529411"
"73","30.375559999999997"
"74","28.177444444444443"
"75","34.557809523809524"
"76","30.755038461538465"
"77","21.849525"
"78","24.312261904761904"
"79","21.918675"
"80","16.260666666666665"
"81","24.429499999999997"
"82","18.347857142857144"
"83","30.820000000000007"
"84","41.60204347826087"
"85","26.539360000000002"
"86","31.637333333333334"
"87","21.736470588235292"
"88","17.416705882352943"
"89","15.88507142857143"
"90","24.744333333333334"
"91","24.779619047619047"
"92","23.50547368421052"
"93","40.1343076923077"
"94","27.985125"
"95","29.892933333333335"
"96","23.629842105263158"
"97","32.781"
"98","44.13511764705883"
"99","31.30241666666667"
"100","18.805916666666665"
"101","27.38963636363636"
"102","7.938315789473684"
"103","39.74242105263158"
"104","30.241133333333334"
"105","42.5824375"
"106","26.752352941176472"
"107","36.42508"
"108","30.382400000000004"
"109","23.775624999999998"
"110","28.063421052631583"
"111","27.733727272727275"
"112","38.1745"
"113","32.76157142857143"
"114","22.9647"
"115","43.107625000000006"
"116","34.099111111111114"
"117","20.484866666666665"
"118","38.45633333333333"
"119","19.2495"
"120","42.82655555555555"
"121","38.577375"
"122","33.11714285714286"
"123","32.23175"
"124","30.981599999999997"
"125","43.07722222222222"
"126","32.344166666666666"
"127","29.607047619047616"
"128","9.727125"
"129","31.1556"
"130","32.49125"
"131","41.639333333333326"
"132","33.495714285714286"
"133","36.10584615384616"
"134","30.464277777777777"
"135","70.57950000000001"
"136","49.95854545454545"
"137","30.22653846153846"
"138","9.83575"
"139","21.481272727272724"
"140","43.79622222222221"
"141","60.726"
"142","37.18864705882353"
"143","39.560833333333335"
"144","31.6798"
"145","24.771875"
"146","24.80275"
"147","50.557727272727284"
"148","30.588153846153844"
"149","37.71631578947368"
"150","21.737727272727273"
"151","22.798000000000002"
"152","34.21842857142857"
"153","26.65122222222222"
"154","8.0043"
"155","10.01525"
"156","10.023875"
"157","21.894818181818184"
"158","21.916363636363634"
"159","8.0461"
"160","26.843333333333334"
"161","32.2432"
"162","40.3465"
"163","24.230200000000004"
"164","22.049181818181818"
"165","34.673"
"166","40.507999999999996"
"167","13.515833333333333"
"168","34.791000000000004"
"169","27.087999999999997"
"170","30.499875"
"171","24.4236"
"172","20.37425"
"173","40.7905"
"174","13.608333333333334"
"175","13.6225"
"176","24.5439"
"177","10.235375"
"178","40.9835"
"179","20.513"
"180","30.801375"
"181","27.433333333333334"
"182","11.767"
"183","27.484666666666666"
"184","18.338777777777775"
"185","10.33575"
"186","41.3855"
"187","16.568"
"188","27.639333333333337"
"189","35.57271428571429"
"190","10.3945"
"191","27.745833333333334"
"192","22.74218181818182"
"193","50.0758"
"194","11.934571428571429"
"195","30.40727272727273"
"196","23.915714285714284"
"197","16.7548"
"198","15.258363636363638"
"199","16.815"
"200","7.0120000000000005"
"201","36.171"
"202","9.386111111111111"
"203","16.934"
"204","28.253333333333334"
"205","42.428"
"206","10.6195"
"207","42.52"
"208","28.377"
"209","28.405"
"210","36.559285714285714"
"211","34.1884"
"212","17.1244"
"213","51.4242"
"214","9.532444444444444"
"215","28.623333333333335"
"216","24.554"
"217","32.258624999999995"
"218","24.642"
"219","32.3715"
"220","51.885400000000004"
"221","43.27"
"222","28.869666666666664"
"223","43.347"
"224","21.689"
"225","24.83142857142857"
"226","29.042"
"227","29.093333333333334"
"228","29.139833333333332"
"229","43.7485"
"230","29.186333333333334"
"231","10.9535"
"232","43.849"
"233","17.5564"
"234","43.957"
"235","14.6665"
"236","22.04975"
"237","29.471999999999998"
"238","17.700200000000002"
"239","44.393499999999996"
"240","22.21225"
"241","59.27866666666667"
"242","29.662666666666667"
"243","22.2665"
"244","53.52239999999999"
"245","22.334"
"246","89.405"
"247","44.7445"
"248","44.776"
"249","17.924"
"250","17.9534"
"251","44.9525"
"252","44.9525"
"253","90.03699999999999"
"254","90.037"
"255","30.078999999999997"
"256","45.153"
"257","22.596"
"258","45.261"
"259","67.94324999999999"
"260","30.240666666666666"
"261","30.264"
"262","60.61533333333333"
"263","36.4836"
"264","22.81775"
"265","22.8525"
"266","30.557666666666666"
"267","45.871"
"268","45.9055"
"269","91.943"
"270","23.03975"
"271","23.10325"
"272","46.2805"
"273","46.307"
"274","55.615199999999994"
"275","46.381"
"276","46.4155"
"277","30.96666666666667"
"278","94.284"
